x,I60,I70,I80,I90,I100
"68,024","38,7901","35,3809","32,4976","31,1621","29,9368"
"72,999","39,0146","35,5819","32,69","31,3898","30,1913"
"75,853","39,1368","35,6915","32,7944","31,5188","30,3564"
"75,862","39,1372","35,6918","32,7947","31,5191","30,3568"
"78,329","39,2392","35,7823","32,8818","31,6274","30,4926"
"79,344","39,2802","35,8237","32,9169","31,6708","30,5471"
"84,602","39,4844","36,0271","33,0921","31,8843","30,8203"
"87,92","39,6062","36,1489","33,197","32,0083","30,9642"
"88,476","39,6261","36,1688","33,2142","32,0283","30,988"
"91,364","39,7331","36,2715","33,3014","32,1288","31,1099"
"92,547","39,7758","36,3076","33,3362","32,1688","31,1589"
"98,049","39,9671","36,4726","33,4678","32,35","31,3794"
"102,539","40,1153","36,6006","33,5692","32,4972","31,5494"
"102,55","40,1156","36,6009","33,5695","32,4976","31,5498"
"105,886","40,2208","36,6908","33,6419","32,6093","31,6714"
"107,948","40,2844","36,7556","33,6856","32,6783","31,7445"
"113,634","40,4542","36,925","33,8071","32,8604","31,9385"
"118,09","40,5829","37,0517","33,8983","32,9868","32,0917"
"118,837","40,6045","37,0726","33,9132","33,0061","32,1166"
"122,716","40,6959","37,18","33,9893","33,0995","32,2438"
"125,106","40,7515","37,2334","34,0351","33,1529","32,3201"
"130,854","40,8808","37,3607","34,1416","33,2759","32,4976"
"136,861","40,9965","37,489","34,2479","33,4061","32,6754"
"137,726","41,0238","37,5071","34,2629","33,4256","32,7004"
"142,221","41,1476","37,5993","34,3389","33,53","32,8277"
"144,991","41,2202","37,6547","34,3845","33,5952","32,9041"
"150,683","41,3645","37,7651","34,472","33,7272","33,0567"
"158,61","41,5583","37,9113","34,5884","33,8953","33,2594"
"159,62","41,5829","37,9291","34,6027","33,9146","33,2843"
"164,83","41,6759","38,0187","34,6756","34,0085","33,4115"
"169,12","41,7525","38,1049","34,734","34,0799","33,5134"
"173,52","41,8296","38,1897","34,7947","34,1501","33,6158"
"183,81","42,0022","38,3795","34,9311","34,3143","33,8333"
"183,83","42,0026","38,3798","34,9314","34,3146","33,8338"
"191,03","42,1313","38,5079","35,0224","34,4371","33,9796"
196,"42,2165","38,5791","35,0834","34,5248","34,0773"
"201,1","42,3014","38,6519","-6,02704959148395366e+39","34,6159","34,1749"
"211,68","42,4707","38,7984","-1,625042819671771838e+41","34,8038",nan
"213,02","42,4914","38,8165","-2,057750784276914058e+41","34,8271",nan
"221,39",nan,"38,9272","-6,44040784200539989e+41","34,9684",nan
