x	I60	I70	I80	I90	I100
79,323	39,2769	35,8189	32,9132	31,6667	30,5406
84,586	39,4807	36,025	33,0927	31,8803	30,816
87,902	39,6038	36,1493	33,1986	32,0042	30,9694
88,444	39,6236	36,1688	33,2151	32,0236	30,9931
91,339	39,7278	36,2682	33,2996	32,1243	31,1148
92,528	39,77	36,3064	33,3322	32,1645	31,1627
98,036	39,9612	36,4681	33,4685	32,3457	31,3748
102,508	40,1126	36,5921	33,5674	32,4922	31,5404
102,536	40,1135	36,5929	33,568	32,4931	31,5414
105,863	40,2239	36,6872	33,6382	32,6045	31,6617
107,933	40,2908	36,7482	33,6814	32,6737	31,7354
113,625	40,4636	36,9195	33,7998	32,8559	31,9337
118,081	40,5834	37,0502	33,8913	32,9821	32,0846
118,808	40,6015	37,0708	33,906	33,0009	32,1089
122,697	40,6915	37,1762	33,9837	33,0945	32,2366
125,096	40,7433	37,2365	34,0305	33,1481	32,3137
130,85	40,8649	37,3684	34,1386	33,271	32,4925
136,858	41,0001	37,4923	34,2453	33,4011	32,6701
137,701	41,0205	37,5089	34,2597	33,4202	32,6944
142,208	41,1358	37,5952	34,3349	33,5247	32,8216
144,989	41,2099	37,6471	34,3796	33,5901	32,8982
150,687	41,362	37,7518	34,4675	33,7221	33,0514
158,62	41,5577	37,8975	34,5832	33,8901	33,2567
159,6	41,5794	37,9157	34,597	33,9089	33,2813
164,82	41,6853	38,0143	34,6699	34,0029	33,4094
169,13	41,7624	38,0975	34,7288	34,0745	33,5107
173,53	41,8353	38,1833	34,7881	34,1448	33,6103
183,79	41,9985	38,3774	34,923	34,3083	33,828
183,84	41,9993	38,3783	34,9237	34,3091	33,829
191,03	42,1181	38,5032	35,0154	34,4313	33,9731
196,02	42,2024	38,5826	35,0779	34,5192	34,0705
201,12	42,289	38,6582	35,1408	34,6103	34,1691
211,71	42,466	38,8015	35,2685	34,7981	34,3775
213,02	42,4874	38,8182	35,2839	34,8208	34,4039
218,62	42,5775	38,8882	35,3492	34,9162	34,5184
219,32	42,5885	38,8968	35,3572	34,9278	34,5326
221,41	42,6213	38,9223	35,3812	34,9623	34,5748
