x	E60	E70	E80	E90	E100
87,088	12,5437	9,898	7,2637	6,08	4,4786
88,217	12,5251	9,8844	7,2511	6,0754	4,4745
91,099	12,4792	9,8534	7,2207	6,063	4,4677
94,043	12,4367	9,8255	7,1918	6,0497	4,4663
99,007	12,3784	9,7806	7,1466	6,0267	4,47
101,592	12,3542	9,7563	7,1243	6,0148	4,4718
103,571	12,3381	9,7378	7,1076	6,0059	4,4719
106,955	12,3152	9,7072	7,0794	5,9911	4,4681
110,412	12,2973	9,6789	7,051	5,9766	4,4577
116,24	12,2766	9,6412	7,0034	5,9534	4,4317
118,511	12,27	9,6305	6,9849	5,9449	4,4212
120,82	12,2632	9,6217	6,966	5,9364	4,4115
124,767	12,2499	9,6094	6,9346	5,9225	4,3986
129,629	12,2278	9,5957	6,8989	5,906	4,391
136,472	12,1833	9,5717	6,8579	5,8838	4,3906
139,139	12,1639	9,5588	6,8455	5,8754	4,3924
141,849	12,1444	9,5436	6,8352	5,8669	4,3947
146,482	12,1137	9,514	6,8214	5,8526	4,399
151,218	12,0884	9,4811	6,8099	5,8382	4,4029
158,18	12,0644	9,4322	6,7926	5,8177	4,4063
163,36	12,0524	9,3982	6,776	5,8031	4,4061
165,47	12,048	9,3851	6,7677	5,7974	4,4053
171,98	12,034	9,3482	6,7374	5,7804	4,3994
177,54	12,0189	9,321	6,7079	5,7665	4,3905
184,53	11,9929	9,2928	6,6691	5,7499	4,3754
190,56	11,9654	9,2738	6,6366	5,7361	4,3603
194,27	11,9469	9,2641	6,6177	5,7279	4,3504
201,91	11,907	9,2477	6,5817	5,7114	4,3299
207,11	11,8795	9,2383	6,5588	5,7005	4,3163
216,64	11,8314	9,2233	6,5194	5,6811	4,2935
222,3	11,8055	9,2149	6,4972	5,6698	4,2818
